Date,Trading_Total_Stock_Amount,Trading_Total_Price,Open,High,Low,Close,Price_Dif,Number_Of_Transactions
107/10/11,"96,033,657","22,115,862,239",233.5,233.5,227,227.5,-16.5,"37,543"
107/10/09,"28,933,345","7,051,600,725",243.5,245,242,244,0.5,"11,743"
107/10/08,"51,083,958","12,426,290,240",245.5,246.5,241,243.5,-6.5,"20,745"
107/10/05,"40,396,660","10,101,451,270",250,253,248.5,250,-4,"16,031"
107/10/04,"38,009,727","9,690,178,362",257,257.5,254,254,-6,"15,094"
107/10/03,"25,228,536","6,527,393,860",257.5,260,257,260,2.5,"9,992"
107/10/02,"38,391,491","9,926,505,357",262,263,257,257.5,-5.5,"17,095"
107/10/01,"22,409,380","5,882,532,290",262,264,261,263,0.5,"11,914"
107/09/28,"39,645,486","10,412,455,506",266,266,260,262.5,-2.5,"13,060"
107/09/27,"38,495,371","10,185,827,315",264,266,262,265,1.5,"11,536"
107/09/26,"25,061,115","6,577,367,245",263,263.5,261,263.5,0,"7,007"
107/09/25,"24,978,062","6,552,894,296",261.5,264,260.5,263.5,2,"10,082"
107/09/21,"36,500,974","9,510,363,894",261.5,261.5,258,261.5,1.5,"10,159"
107/09/20,"35,577,071","9,225,009,310",261.5,261.5,257.5,260,2,"9,444"
107/09/19,"69,978,711","18,074,954,749",258,260,257,258,3.5,"14,056"
107/09/18,"34,381,152","8,771,502,830",256.5,257,254,254.5,-3.5,"11,097"
107/09/17,"25,041,358","6,483,537,091",262.5,262.5,257,258,-3,"10,710"
107/09/14,"40,034,219","10,379,404,959",257,261.5,257,261,6,"15,690"
107/09/13,"37,959,180","9,721,989,110",260,260,253.5,255,-5.5,"14,987"
107/09/12,"38,415,965","9,987,682,900",261,262,258,260.5,0.5,"12,104"
107/09/11,"44,981,276","11,709,484,991",263,263.5,258,260,-4.5,"14,768"
107/09/10,"62,851,599","16,669,866,076",266.5,266.5,262.5,264.5,0.5,"15,504"
107/09/07,"44,746,728","11,753,033,262",263,264,260.5,264,3,"15,015"
107/09/06,"39,779,488","10,467,251,488",268,268,261,261,-3,"11,996"
107/09/05,"52,706,459","13,833,360,422",260,264.5,259,264,6.5,"16,421"
107/09/04,"41,455,615","10,654,493,061",258.5,259.5,255.5,257.5,0.5,"9,069"
107/09/03,"34,510,555","8,901,193,266",259,260,256.5,257,1,"11,442"
107/08/31,"70,000,506","17,920,548,387",257.5,259,254,256,-7.5,"19,019"
107/08/30,"52,622,808","13,914,404,873",264.5,268,262.5,263.5,4.5,"22,862"
107/08/29,"57,633,182","14,784,556,456",253.5,259,253.5,259,9.5,"25,668"
107/08/28,"40,410,531","10,075,613,779",248.5,250,248,249.5,4.5,"16,881"
107/08/27,"15,579,299","3,825,736,755",246,246.5,244.5,245,1.5,"7,858"
107/08/24,"15,446,943","3,772,959,070",245.5,246,243,243.5,-1,"5,099"
107/08/23,"17,216,240","4,200,671,070",243,244.5,243,244.5,2.5,"5,660"
107/08/22,"12,679,240","3,063,201,922",241.5,242.5,240.5,242,1,"5,009"
107/08/21,"13,871,127","3,328,215,657",239,241,238.5,241,1.5,"5,474"
107/08/20,"17,014,437","4,068,729,103",239.5,240,238,239.5,0,"6,640"
107/08/17,"19,634,474","4,707,354,383",239.5,241,239,239.5,0.5,"6,680"
107/08/16,"19,155,966","4,587,260,340",238,241.5,238,239,-2.5,"9,397"
107/08/15,"19,236,321","4,642,117,523",244.5,244.5,239.5,241.5,-2,"8,920"
107/08/14,"17,488,913","4,262,753,253",245,245,242.5,243.5,3,"7,415"
107/08/13,"17,881,194","4,302,280,285",241.5,243,239,240.5,-4.5,"9,875"
107/08/10,"16,125,492","3,961,311,040",246.5,247,244.5,245,-2,"6,558"
107/08/09,"15,128,655","3,740,736,404",247,248,246,247,-0.5,"7,127"
107/08/08,"24,382,432","6,011,480,272",245,247.5,244.5,247.5,6,"10,247"
107/08/07,"24,352,418","5,922,738,042",245,245.5,241.5,241.5,-4,"9,665"
107/08/06,"22,364,568","5,487,396,854",245,247,244,245.5,-1.5,"9,732"
107/08/03,"25,165,097","6,205,758,662",246,248,245,247,2.5,"9,585"
107/08/02,"22,775,110","5,611,725,541",249,249.5,243.5,244.5,-3.5,"10,343"
107/08/01,"29,777,161","7,375,488,342",247,248,246.5,248,2,"11,667"
107/07/31,"28,202,542","6,912,550,610",243.5,246,242,246,0.5,"9,460"
107/07/30,"22,803,730","5,585,710,909",244.5,245.5,244,245.5,1,"9,953"
107/07/27,"27,129,646","6,605,479,210",242,244.5,241,244.5,3.5,"12,493"
107/07/26,"30,856,388","7,435,261,120",241,242.5,239.5,241,0.5,"10,235"
107/07/25,"21,530,312","5,173,924,310",239,241,239,240.5,-0.5,"8,491"
107/07/24,"27,468,267","6,599,675,515",240,241.5,238.5,241,0,"10,574"
107/07/23,"52,269,877","12,621,500,480",239,245,238.5,241,3.5,"19,777"
107/07/20,"103,652,023","24,367,904,428",235,237.5,233,237.5,13,"39,544"
107/07/19,"43,976,216","9,930,715,930",225.5,227,224.5,224.5,1.5,"12,076"
107/07/18,"45,802,658","10,221,407,834",223,224,222,223,1.5,"12,139"
107/07/17,"22,554,436","5,003,028,272",222.5,223.5,221,221.5,-2,"8,636"
107/07/16,"16,107,254","3,612,296,896",224.5,225,223.5,223.5,-1,"6,321"
107/07/13,"30,419,311","6,799,894,334",222.5,224.5,222.5,224.5,4,"11,723"
107/07/12,"23,806,051","5,246,628,771",218,222,218,220.5,0.5,"7,885"
107/07/11,"19,854,690","4,355,547,100",220,220,218,220,-2,"7,437"
107/07/10,"20,196,957","4,498,264,914",223,224,222,222,0.5,"6,922"
107/07/09,"41,165,793","9,100,880,393",219.5,223,218.5,221.5,4.5,"14,795"
107/07/06,"31,344,962","6,779,063,394",217.5,217.5,215,217,2.5,"8,620"
107/07/05,"18,225,416","3,904,832,940",214,215,213,214.5,-1.5,"5,581"
107/07/04,"15,359,295","3,324,927,032",217,217.5,215.5,216,1.5,"5,434"
107/07/03,"28,663,220","6,173,115,899",215.5,218,213.5,214.5,0.5,"7,758"
107/07/02,"33,496,442","7,257,081,470",218.5,219,214,214,-2.5,"8,508"
107/06/29,"36,848,680","7,919,779,720",212,217,212,216.5,4.5,"8,652"
107/06/28,"38,816,780","8,231,075,920",211,214.5,210,212,-1,"10,772"
107/06/27,"40,863,414","8,742,004,301",216,216,212.5,213,-1.5,"12,681"
107/06/26,"43,080,346","9,242,648,746",215.5,216,212.5,214.5,-3.5,"15,639"
107/06/25,"49,058,211","10,749,795,782",220,220.5,218,218,X0.00,"17,959"
107/06/22,"44,211,409","9,994,644,852",224.5,227.5,224,227.5,1,"14,388"
107/06/21,"32,572,707","7,379,769,339",227.5,228,226,226.5,0.5,"9,421"
107/06/20,"40,708,701","9,175,159,127",224.5,227.5,223.5,226,1,"13,262"
107/06/19,"61,142,624","13,754,800,554",225.5,226,224,225,-6,"19,088"
107/06/15,"49,506,679","11,291,127,719",225,231,224,231,4.5,"10,090"
107/06/14,"36,932,041","8,423,126,398",230,230,226.5,226.5,-5.5,"12,252"
107/06/13,"36,081,120","8,311,856,296",229,232,228,232,3,"10,687"
107/06/12,"30,189,360","6,837,374,510",225,229,224,229,3,"8,281"
107/06/11,"22,028,933","4,980,629,259",226.5,227,225,226,-1,"6,726"
107/06/08,"24,192,851","5,493,234,408",229,229,226,227,-3,"7,775"
107/06/07,"25,277,266","5,809,345,446",231,231.5,228,230,0,"9,146"
107/06/06,"30,375,441","6,961,135,060",229,230,227,230,1,"9,758"
107/06/05,"27,714,384","6,329,201,896",230,230,226.5,229,0,"8,509"
107/06/04,"31,257,480","7,131,988,670",227.5,229,227,229,5,"9,746"
107/06/01,"36,652,094","8,209,412,370",224.5,226.5,224,224,0,"7,627"
107/05/31,"96,587,458","21,553,655,265",221.5,224,220.5,224,3,"12,737"
107/05/30,"49,667,788","10,997,306,304",224,224,220.5,221,-4,"21,406"
107/05/29,"25,770,776","5,782,293,276",226.5,226.5,223.5,225,-2,"11,400"
107/05/28,"17,673,270","4,020,203,060",229.5,230,226.5,227,-1.5,"7,239"
107/05/25,"16,486,294","3,769,909,946",228.5,229.5,228,228.5,-0.5,"5,474"
107/05/24,"13,450,610","3,082,675,140",229.5,230,228.5,229,0.5,"4,240"
107/05/23,"26,737,899","6,146,178,621",231.5,231.5,228.5,228.5,-0.5,"5,059"
107/05/22,"22,422,097","5,175,634,112",230,233.5,229,229,0,"6,963"
107/05/21,"16,417,815","3,751,438,835",225,230,225,229,5.5,"7,591"
107/05/18,"28,187,541","6,327,474,145",225.5,227.5,223.5,223.5,-3,"9,720"
107/05/17,"27,702,737","6,322,484,836",231,231.5,226.5,226.5,-4,"8,428"
107/05/16,"14,834,107","3,408,682,013",229.5,230.5,228.5,230.5,0,"5,398"
107/05/15,"23,771,769","5,493,470,187",233.5,234,229.5,230.5,-2.5,"7,810"
107/05/14,"23,577,637","5,502,726,121",234.5,234.5,232.5,233,0,"7,666"
107/05/11,"30,693,910","7,138,428,530",232,234,230.5,233,3.5,"11,920"
107/05/10,"27,530,377","6,337,230,710",231,231.5,229,229.5,0,"11,051"
107/05/09,"35,597,934","8,188,991,070",228.5,232,228.5,229.5,1.5,"12,616"
107/05/08,"40,324,763","9,146,327,464",224,228.5,223.5,228,4.5,"13,229"
107/05/07,"23,751,759","5,309,421,525",225,225.5,221.5,223.5,0.5,"8,951"
107/05/04,"28,477,722","6,330,594,053",221,224,220.5,223,2.5,"8,445"
107/05/03,"33,507,731","7,399,813,831",221,222.5,220,220.5,-2.5,"12,287"
107/05/02,"38,436,942","8,633,492,540",227,227.5,222.5,223,-4,"11,445"
107/04/30,"28,500,789","6,448,117,416",224.5,228,222.5,227,3.5,"9,480"
107/04/27,"34,443,459","7,679,131,764",225,225.5,221,223.5,1.5,"10,859"
107/04/26,"48,176,657","10,766,085,521",225,225.5,221,222,-3,"16,253"
107/04/25,"48,975,110","11,032,111,105",225.5,226,224,225,-2,"15,136"
107/04/24,"45,206,892","10,233,860,296",225,227.5,225,227,0.5,"13,970"
107/04/23,"71,901,975","16,282,275,410",226.5,227.5,225,226.5,-2.5,"22,048"
107/04/20,"129,890,087","29,837,344,632",228,231.5,228,229,-15.5,"46,349"
107/04/19,"33,230,989","8,081,404,960",242,244.5,241,244.5,6.5,"10,987"
107/04/18,"44,768,048","10,668,587,090",239.5,241.5,236.5,238,0,"12,132"
107/04/17,"42,756,389","10,232,256,860",243,243.5,237.5,238,-5.5,"18,381"
107/04/16,"21,608,528","5,251,556,179",243,244,242,243.5,-1,"8,436"
107/04/13,"19,946,548","4,885,963,546",246,246,244,244.5,-0.5,"5,549"
107/04/12,"20,476,657","5,028,226,522",248.5,248.5,244,245,-3,"6,898"
107/04/11,"21,777,935","5,391,978,180",246.5,248.5,246.5,248,2.5,"8,813"
107/04/10,"25,268,994","6,231,896,018",244.5,249,243.5,245.5,0.5,"11,912"
107/04/09,"35,465,824","8,716,801,768",248,248,243.5,245,1,"12,437"
107/04/03,"35,813,944","8,710,200,224",243,244.5,242,244,-2.5,"13,270"
107/04/02,"19,029,003","4,702,581,241",248.5,249,245,246.5,-1,"6,951"
107/03/31,"3,603,912","893,664,176",247.5,249,246.5,247.5,1.5,"2,409"
107/03/30,"16,996,346","4,212,690,462",247.5,249.5,246,246,2,"7,578"
107/03/29,"36,427,345","8,888,435,870",243,247,242.5,244,-1,"12,832"
107/03/28,"29,924,411","7,349,468,217",247.5,248,244,245,-6,"13,041"
107/03/27,"31,100,260","7,732,298,021",248,251,247,251,7.5,"11,698"
107/03/26,"39,487,945","9,582,954,454",241.5,244.5,241.5,243.5,-1.5,"11,404"
107/03/23,"52,974,390","12,994,667,867",245,247,244,245,-6.5,"20,513"
107/03/22,"27,000,718","6,797,045,014",254.5,254.5,249.5,251.5,-1,"10,475"
107/03/21,"32,977,737","8,325,162,114",255,255,251,252.5,-0.5,"11,575"
107/03/20,"22,335,151","5,640,426,203",253,254,251.5,253,-2,"9,334"
107/03/19,"22,440,766","5,679,567,964",252.5,255.5,251,255,0,"9,888"
107/03/16,"62,989,326","15,930,805,360",253,256,249.5,255,0,"18,058"
107/03/15,"19,396,493","4,965,546,715",258,258,255,255,-2,"5,945"
107/03/14,"24,254,838","6,220,805,864",256.5,257.5,255.5,257,-2,"8,518"
107/03/13,"34,264,883","8,816,553,606",255.5,259,255,259,5,"11,700"
107/03/12,"25,100,615","6,370,529,728",252,255,251.5,254,3.5,"10,550"
107/03/09,"22,887,063","5,723,277,170",250,251,248.5,250.5,1,"7,050"
107/03/08,"20,645,694","5,172,732,531",249.5,251.5,249,249.5,2.5,"8,817"
107/03/07,"30,391,219","7,525,601,638",248,248.5,246,247,-3,"10,521"
107/03/06,"36,945,780","9,155,812,210",245.5,250,245.5,250,8.5,"13,977"
107/03/05,"27,337,846","6,607,367,732",242.5,243,240.5,241.5,1.5,"9,321"
107/03/02,"35,289,170","8,453,712,014",240,241,238.5,240,-3,"10,440"
107/03/01,"43,847,984","10,669,194,561",244,245,242,243,-3,"11,589"
107/02/27,"44,699,119","11,061,945,363",250.5,250.5,246,246,-0.5,"10,908"
107/02/26,"36,165,810","8,910,352,170",247,247.5,245,246.5,1.5,"12,565"
107/02/23,"26,985,776","6,578,657,620",241,245,241,245,5.5,"10,178"
107/02/22,"45,492,993","10,977,665,819",244,244,239,239.5,-3,"10,071"
107/02/21,"76,396,174","18,582,475,956",244.5,244.5,242,242.5,6,"21,512"
107/02/12,"42,917,236","10,113,012,768",235.5,237.5,235,236.5,4,"10,851"
107/02/09,"65,939,265","15,227,192,540",230,233,228.5,232.5,-6,"19,749"
107/02/08,"31,192,550","7,468,970,072",239.5,242,238,238.5,-1.5,"10,274"
107/02/07,"82,299,178","19,903,032,966",245,245.5,239.5,240,1,"22,962"
107/02/06,"104,448,048","24,944,565,955",242.5,243.5,234,239,-14,"35,455"
107/02/05,"46,554,379","11,742,299,859",251,254.5,250.5,253,-6.5,"16,909"
107/02/02,"25,707,560","6,633,344,540",259,260,255,259.5,0,"11,404"
107/02/01,"30,900,457","8,022,694,430",257.5,261,257,259.5,4.5,"13,598"
107/01/31,"45,807,808","11,670,582,000",253,257.5,252,255,2,"13,553"
107/01/30,"37,410,591","9,523,980,994",256,257.5,252.5,253,-5.5,"12,987"
107/01/29,"31,306,234","8,067,780,117",259,261.5,255,258.5,3.5,"12,211"
107/01/26,"43,514,523","11,101,977,348",256.5,257.5,253.5,255,-3,"12,821"
107/01/25,"46,214,756","11,981,089,514",258,264,256.5,258,0,"15,826"
107/01/24,"42,600,813","11,022,372,004",263,263,256.5,258,-8,"17,287"
107/01/23,"34,606,444","9,155,080,569",262.5,266,262.5,266,4.5,"13,993"
107/01/22,"45,907,509","11,934,882,643",257.5,262,257,261.5,6,"13,558"
107/01/19,"55,061,292","13,975,174,348",253.5,255.5,251.5,255.5,7,"18,801"
107/01/18,"50,119,952","12,406,562,364",245,250,245,248.5,6.5,"19,482"
107/01/17,"38,118,119","9,207,582,787",240.5,243,239,242,1.5,"12,593"
107/01/16,"23,407,632","5,609,009,540",240,240.5,238,240.5,0.5,"8,156"
107/01/15,"28,576,533","6,832,851,887",240,240,238,240,3,"9,756"
107/01/12,"23,141,291","5,463,302,207",234.5,238,233.5,237,2,"7,905"
107/01/11,"32,070,338","7,500,674,455",235,236,232.5,235,-1.5,"9,199"
107/01/10,"25,716,220","6,118,683,273",241.5,242,236,236.5,-5.5,"10,534"
107/01/09,"19,043,123","4,588,314,012",242,242,239.5,242,0,"7,124"
107/01/08,"21,846,692","5,281,823,362",242,242.5,240.5,242,2,"10,251"
107/01/05,"23,721,255","5,681,934,695",240,240,238,240,0.5,"8,659"
107/01/04,"29,179,613","6,963,192,636",240,240,236.5,239.5,2.5,"10,953"
107/01/03,"31,706,091","7,504,382,512",236,238,235.5,237,4.5,"13,633"
107/01/02,"18,055,269","4,188,555,408",231.5,232.5,231,232.5,3,"9,954"
106/12/29,"25,610,443","5,861,624,377",227.5,230,226.5,229.5,3.5,"8,325"
106/12/28,"24,370,371","5,521,736,966",226.5,228,225,226,1,"7,413"
106/12/27,"12,515,245","2,820,168,625",225,226,225,225,-1,"5,717"
106/12/26,"13,755,843","3,118,538,018",229,229,225,226,-2.5,"3,550"
106/12/25,"4,579,675","1,045,118,165",228,229.5,226.5,228.5,1,"2,288"
106/12/22,"19,106,483","4,315,809,802",225,227.5,224,227.5,2.5,"6,146"
106/12/21,"20,826,164","4,696,105,505",226.5,227,224.5,225,0.5,"5,893"
106/12/20,"34,514,333","7,748,610,375",225,225.5,223.5,224.5,-0.5,"10,336"
106/12/19,"25,899,129","5,844,605,314",226.5,228.5,224,225,-2,"7,609"
106/12/18,"15,702,664","3,565,805,928",227,228,226.5,227,-3,"5,961"
106/12/15,"42,725,779","9,781,791,170",228.5,230,226.5,230,-0.5,"7,602"
106/12/14,"17,263,313","3,956,456,249",228,230.5,227.5,230.5,3.5,"6,689"
106/12/13,"19,619,331","4,454,578,768",227.5,228,226.5,227,-0.5,"6,108"
106/12/12,"28,188,584","6,399,536,562",229.5,229.5,225,227.5,0,"6,210"
106/12/11,"20,649,609","4,706,571,094",228.5,229,227,227.5,0.5,"6,384"
106/12/08,"38,183,260","8,678,808,540",231,231,224.5,227,0.5,"9,485"
106/12/07,"41,619,903","9,349,711,831",226.5,226.5,222.5,226.5,-0.5,"13,336"
106/12/06,"34,031,690","7,752,572,207",228,229.5,226.5,227,-2.5,"10,749"
106/12/05,"30,189,765","6,938,661,754",231,231,228.5,229.5,-4.5,"11,202"
106/12/04,"22,939,032","5,347,622,547",232.5,234.5,231,234,3,"7,763"
106/12/01,"38,356,265","8,830,392,980",228.5,233.5,227.5,231,5,"17,632"
106/11/30,"112,262,770","25,539,072,296",226.5,230.5,226,226,-8.5,"21,352"
106/11/29,"26,535,797","6,234,161,137",235,236,234.5,234.5,0.5,"6,976"
106/11/28,"47,834,178","11,198,457,400",234.5,235,233,234,-3,"15,262"
106/11/27,"32,247,327","7,696,717,391",240,240,237,237,-7,"14,743"
106/11/24,"11,404,453","2,777,319,771",242,244.5,241.5,244,1.5,"3,910"
106/11/23,"9,562,763","2,320,934,646",242,243.5,241.5,242.5,0.5,"4,253"
106/11/22,"27,251,431","6,631,376,152",244.5,244.5,242,242,-1,"7,655"
106/11/21,"22,878,024","5,529,803,248",240,243,239.5,243,4.5,"7,942"
106/11/20,"19,811,271","4,744,311,377",241,241.5,238,238.5,-3,"5,935"
106/11/17,"18,741,825","4,528,440,917",240.5,242.5,240.5,241.5,3.5,"5,647"
106/11/16,"17,274,172","4,118,927,788",238,240,237.5,238,0.5,"5,683"
106/11/15,"29,720,308","7,063,591,898",239,239.5,236,237.5,-2.5,"9,224"
106/11/14,"17,229,176","4,132,433,432",241,241,239,240,0.5,"4,130"
106/11/13,"12,087,858","2,904,559,294",240,241.5,239.5,239.5,-1,"4,288"
106/11/10,"15,061,296","3,629,826,936",240,242,239.5,240.5,-0.5,"4,465"
106/11/09,"21,366,949","5,151,628,572",240.5,243,240,241,-1.5,"6,339"
106/11/08,"14,579,103","3,536,455,029",243,243.5,242,242.5,-1.5,"4,610"
106/11/07,"21,689,261","5,266,500,464",242,244,241.5,244,4.5,"6,729"
106/11/06,"21,029,515","5,063,670,900",243.5,244,239,239.5,0.5,"6,601"
106/11/03,"18,327,682","4,386,122,470",240.5,241,238.5,239,-2,"5,621"
106/11/02,"16,309,342","3,940,181,714",242,242.5,240.5,241,-1.5,"5,912"
106/11/01,"20,465,054","4,975,624,502",243.5,245,241.5,242.5,-0.5,"6,464"
106/10/31,"22,582,013","5,497,062,659",243.5,245,241.5,243,0,"8,176"
106/10/30,"30,241,990","7,358,619,170",242,245,241.5,243,4,"10,609"
106/10/27,"18,040,541","4,304,460,160",237.5,240,237.5,239,3,"5,715"
106/10/26,"12,959,717","3,069,618,429",237,238,236,236,-2,"4,947"
106/10/25,"17,205,187","4,099,505,436",238.5,239,237.5,238,0,"5,808"
106/10/24,"16,100,570","3,842,463,252",240,240,238,238,-1,"6,034"
106/10/23,"15,959,559","3,820,927,681",239,240,238.5,239,1.5,"6,686"
106/10/20,"27,056,035","6,456,386,670",238,239.5,237.5,237.5,-1.5,"7,206"
106/10/19,"23,481,776","5,636,769,464",239.5,241.5,239,239,1.5,"9,033"
106/10/18,"28,970,850","6,901,364,183",239.5,239.5,237,237.5,2,"10,330"
106/10/17,"17,652,304","4,171,891,244",238,238,235,235.5,-2.5,"6,336"
106/10/16,"20,673,072","4,906,963,355",237.5,238,236,238,0.5,"6,764"
