Date,Trading_Total_Stock_Amount,Trading_Total_Price,Open,High,Low,Close,Price_Dif,Number_Of_Transactions
111/05/20,"2,530,811","237,936,127",93.50,94.40,93.30,94.40,+1.70,"2,806"
111/05/23,"2,091,495","198,089,834",95.30,95.60,94.00,94.60,+0.20,"1,379"
111/05/24,"1,470,380","138,124,361",94.00,94.60,93.50,93.90,-0.70,887
111/05/25,"2,574,473","244,270,638",93.90,95.20,93.80,95.00,+1.10,"1,860"
111/05/26,"2,113,313","199,989,157",95.10,95.60,93.80,93.90,-1.10,"1,462"
111/05/27,"2,710,499","258,259,488",95.40,95.60,94.60,95.00,+1.10,"1,795"
111/05/30,"3,776,999","362,840,750",95.90,96.60,95.20,96.30,+1.30,"2,456"
111/05/31,"6,389,000","618,078,558",96.00,97.10,95.60,96.80,+0.50,"2,253"
111/06/01,"1,733,327","167,042,713",95.80,97.00,95.80,96.00,-0.80,996
111/06/02,"1,656,244","157,536,782",95.20,95.80,94.20,95.80,-0.20,"1,463"
111/06/06,"2,099,687","201,974,682",96.10,96.70,95.30,96.70,+0.90,"1,643"
111/06/07,"1,968,484","188,243,323",96.60,96.60,95.20,95.30,-1.40,"3,087"
111/06/08,"1,599,466","153,850,121",96.40,96.40,95.90,96.10,+0.80,"1,312"
111/06/09,"3,165,914","307,295,314",97.50,97.90,96.60,97.00,+0.90,"2,981"
111/06/10,"2,467,568","237,559,252",95.70,97.00,95.60,96.00,-1.00,"3,011"
111/06/13,"5,062,541","478,273,610",94.40,95.70,93.50,95.30,-0.70,"4,516"
111/06/14,"4,270,574","411,995,973",95.80,97.30,94.50,96.90,+1.60,"2,871"
111/06/15,"4,730,278","457,965,324",96.20,97.50,96.00,96.90, 0.00,"3,010"
111/06/16,"3,204,410","310,281,729",97.80,97.80,95.80,95.80,-1.10,"1,922"
111/06/17,"7,366,312","710,948,716",95.50,97.30,95.10,96.00,+0.20,"3,013"
111/06/20,"5,753,416","544,330,086",95.70,95.70,93.40,94.50,-1.50,"2,610"
111/06/21,"6,090,109","564,718,980",92.10,93.90,91.40,93.90,X0.00,"3,443"
111/06/22,"3,412,294","315,081,944",93.80,93.80,91.60,92.10,-1.80,"2,347"
111/06/23,"4,090,470","381,734,679",93.30,94.50,92.10,93.40,+1.30,"2,264"
111/06/24,"5,586,087","530,582,187",94.00,95.70,93.60,95.00,+1.60,"3,124"
111/06/27,"4,440,075","427,946,526",96.00,97.40,95.00,95.20,+0.20,"3,084"
111/06/28,"2,027,336","194,502,095",96.10,96.70,95.40,96.00,+0.80,"1,321"
111/06/29,"1,978,904","188,952,396",94.50,96.20,94.50,95.70,-0.30,"1,972"
111/06/30,"3,226,574","303,982,336",94.80,95.40,93.70,93.80,-1.90,"2,223"
111/07/01,"3,496,424","326,190,328",93.20,94.50,92.30,93.00,-0.80,"2,334"
111/07/04,"3,538,833","337,398,855",94.30,96.50,94.00,94.90,+1.90,"2,378"
111/07/05,"3,844,374","361,140,463",96.10,96.40,92.60,93.30,-1.60,"5,503"
111/07/06,"3,089,744","281,483,586",92.60,93.20,90.20,90.30,-3.00,"3,376"
111/07/07,"2,558,980","230,440,831",91.00,91.20,89.00,89.50,-0.80,"1,920"
111/07/08,"3,970,146","354,483,223",89.50,90.50,88.10,89.40,-0.10,"1,828"
111/07/11,"2,774,686","244,596,860",89.40,89.90,87.50,87.70,-1.70,"1,987"
111/07/12,"3,926,816","329,096,985",86.40,86.40,82.00,82.80,-4.90,"3,104"
111/07/13,"3,688,864","310,464,085",84.80,85.40,83.00,84.20,+1.40,"2,444"
111/07/14,"1,846,681","155,411,771",83.50,84.80,83.30,84.40,+0.20,"1,549"
111/07/15,"3,951,608","326,440,851",83.60,83.60,82.10,82.10,-2.30,"3,059"
111/07/18,"7,313,664","610,946,629",82.10,85.40,81.30,84.20,+2.10,"3,589"
111/07/19,"1,633,994","137,956,518",84.20,84.80,83.40,84.70,+0.50,"1,552"
111/07/20,"4,614,147","385,478,770",84.90,85.10,82.30,82.60,-2.10,"3,830"
111/07/21,"1,525,343","126,600,546",82.70,83.30,82.40,83.30,+0.70,"1,208"
111/07/22,"3,359,927","277,481,907",82.80,83.20,82.10,82.60,-0.70,"2,093"
111/07/25,"1,297,241","108,380,840",82.70,83.90,82.60,83.90,+1.30,"1,045"
111/07/26,"1,598,981","133,657,371",83.90,84.10,83.10,83.50,-0.40,"1,455"
111/07/27,"1,321,300","110,514,704",83.70,84.00,83.20,84.00,+0.50,917
111/07/28,"921,199","77,416,356",84.30,84.40,83.80,84.10,+0.10,828
111/07/29,"1,767,822","149,089,667",85.00,85.00,83.90,84.50,+0.40,"1,258"
111/08/01,"1,134,140","95,559,272",84.50,84.50,83.50,84.50, 0.00,"1,059"
111/08/02,"2,491,433","208,075,554",83.90,84.50,82.70,83.60,-0.90,"1,775"
111/08/03,"1,517,344","127,523,511",83.50,84.50,83.30,83.90,+0.30,"1,313"
111/08/04,"3,094,528","255,697,321",83.70,84.30,81.60,82.50,-1.40,"2,081"
111/08/05,"1,537,966","128,104,924",83.70,83.80,82.90,83.10,+0.60,"1,066"
111/08/08,"981,621","81,155,666",83.10,83.20,82.20,82.80,-0.30,887
111/08/09,"1,076,266","89,023,563",82.50,83.10,82.40,82.60,-0.20,923
111/08/10,"2,334,111","191,243,909",82.20,82.40,81.70,81.90,-0.70,"1,772"
111/08/11,"1,497,515","123,613,073",82.50,82.80,82.20,82.70,+0.80,"1,191"
111/08/12,"2,035,185","170,100,576",82.90,84.20,82.90,83.60,+0.90,"1,512"
111/08/15,"1,434,018","120,864,718",84.00,84.60,83.80,84.60,+1.00,"1,027"
111/08/16,"1,415,976","119,757,604",84.70,84.90,84.00,84.40,-0.20,"1,062"
111/08/17,"3,967,334","337,926,260",84.70,86.00,84.50,85.10,+0.70,"2,791"
111/08/18,"1,687,560","143,646,647",84.60,85.80,84.30,85.60,+0.50,"1,065"
111/08/19,"2,017,590","172,386,850",84.80,86.10,84.70,85.70,+0.10,"1,708"
111/08/22,"1,666,197","141,838,628",85.10,85.50,84.70,85.50,-0.20,"1,120"
111/08/23,"1,435,856","121,702,384",85.00,85.20,84.60,84.60,-0.90,"1,069"
111/08/24,"2,057,634","174,585,122",85.20,85.40,84.10,85.10,+0.50,"1,451"
111/08/25,"2,253,293","193,932,912",85.10,86.50,85.00,86.40,+1.30,"1,441"
111/08/26,"1,183,852","102,145,078",86.60,87.00,85.80,86.40, 0.00,"1,540"
111/08/29,"4,045,958","340,165,295",84.20,84.90,83.70,83.70,-2.70,"2,640"
111/08/30,"3,919,433","325,471,377",83.20,84.20,82.40,83.20,-0.50,"2,716"
111/08/31,"3,000,164","250,479,372",82.80,84.20,82.50,83.80,+0.60,"1,651"
111/09/01,"5,581,369","458,557,572",82.20,83.80,81.60,83.30,-0.50,"3,494"
111/09/02,"2,051,989","168,731,153",82.90,82.90,82.00,82.00,-1.30,"1,762"
111/09/05,"1,360,026","111,428,589",82.40,82.50,81.60,81.80,-0.20,"1,102"
111/09/06,"1,022,694","84,191,986",82.60,82.70,81.80,82.40,+0.60,973
111/09/07,"3,999,328","324,094,083",81.40,82.00,80.60,80.60,-1.80,"3,294"
111/09/08,"2,010,460","162,759,300",80.90,81.50,80.10,81.40,+0.80,"1,612"
111/09/12,"2,172,706","178,882,454",82.90,83.00,81.90,82.50,+1.10,"1,478"
111/09/13,"1,971,683","162,961,108",82.90,82.90,82.30,82.90,+0.40,"1,423"
111/09/14,"2,742,297","223,945,474",81.30,82.70,81.20,81.40,-1.50,"2,103"
111/09/15,"3,489,213","283,794,455",81.40,81.90,80.80,81.80,+0.40,"1,873"
111/09/16,"4,849,827","396,656,781",81.40,82.60,80.80,82.60,+0.80,"2,218"
111/09/19,"2,617,388","212,815,919",82.00,82.10,80.90,81.30,-1.30,"1,872"
111/09/20,"2,571,392","207,935,363",81.30,81.40,80.60,80.90,-0.40,"1,917"
111/09/21,"2,262,000","181,926,503",80.40,80.80,80.20,80.60,-0.30,"2,087"
111/09/22,"5,702,117","450,823,655",80.10,80.60,78.60,79.30,-1.30,"3,938"
111/09/23,"2,306,429","183,510,271",79.30,80.40,79.10,79.40,+0.10,"1,521"
111/09/26,"1,856,435","146,572,175",78.80,79.60,78.30,79.60,+0.20,"1,571"
111/09/27,"1,476,767","117,166,616",79.20,80.10,78.90,79.50,-0.10,"1,050"
111/09/28,"2,406,671","191,484,588",79.00,80.20,78.80,80.10,+0.60,"1,642"
111/09/29,"2,039,150","165,055,524",80.60,81.70,80.10,81.70,+1.60,"1,753"
111/09/30,"3,997,951","329,188,119",81.70,82.90,81.20,82.90,+1.20,"2,481"
111/10/03,"2,535,426","206,407,584",81.50,82.40,80.90,81.40,-1.50,"2,171"
111/10/04,"2,364,697","191,941,649",81.10,81.60,80.60,81.10,-0.30,"1,418"
111/10/05,"3,180,976","256,953,868",80.80,81.40,80.50,80.90,-0.20,"2,078"
111/10/06,"2,046,554","165,068,232",80.80,81.10,80.30,80.60,-0.30,"1,122"
111/10/07,"1,923,609","154,090,563",80.10,80.90,79.60,80.00,-0.60,"1,458"
111/10/11,"3,602,146","283,431,143",78.80,79.50,78.10,79.00,-1.00,"2,341"
111/10/12,"2,180,599","170,710,478",78.50,78.90,78.10,78.10,-0.90,"1,540"
111/10/13,"3,393,408","260,049,227",77.80,78.50,75.20,75.50,-2.60,"2,562"
111/10/14,"3,136,039","242,938,528",75.80,78.80,75.60,77.90,+2.40,"1,750"
111/10/17,"1,308,843","102,408,571",77.00,79.00,76.80,79.00,+1.10,"1,328"
111/10/18,"2,098,416","165,491,189",79.00,79.40,78.30,79.40,+0.40,"1,638"
111/10/19,"3,283,945","257,696,876",78.40,79.60,77.60,77.90,-1.50,"2,512"
111/10/20,"4,634,313","356,542,001",77.00,78.00,76.10,77.40,-0.50,"2,131"
111/10/21,"2,120,579","166,152,827",78.10,79.00,77.60,79.00,+1.60,"1,160"
111/10/24,"3,490,792","280,283,500",79.70,81.00,79.20,80.60,+1.60,"1,822"
111/10/25,"3,494,176","284,169,767",81.20,82.00,80.70,81.70,+1.10,"1,941"
111/10/26,"3,190,797","260,795,000",81.40,82.50,80.80,82.10,+0.40,"2,458"
111/10/27,"3,038,725","251,144,180",82.40,83.80,82.00,82.00,-0.10,"1,645"
111/10/28,"1,970,199","161,731,534",83.00,83.00,81.80,81.80,-0.20,"1,701"
111/10/31,"2,057,697","169,305,854",81.90,83.00,81.20,83.00,+1.20,907
111/11/01,"1,786,864","148,014,787",82.50,83.30,81.60,83.20,+0.20,"1,257"
111/11/02,"1,779,000","146,182,445",82.30,83.20,81.60,81.90,-1.30,"1,687"
111/11/03,"1,644,654","133,855,267",81.20,81.80,81.00,81.80,-0.10,"1,549"
111/11/04,"1,595,010","130,104,673",81.00,82.30,80.80,82.30,+0.50,"1,091"
111/11/07,"1,339,630","110,873,761",82.30,83.00,82.10,83.00,+0.70,974
111/11/08,"1,559,533","129,556,582",83.40,83.70,82.50,83.30,+0.30,"1,298"
111/11/09,"2,118,539","176,156,141",83.10,83.50,82.60,83.30, 0.00,"1,637"
111/11/10,"1,380,885","114,305,229",82.50,83.30,82.40,82.50,-0.80,"1,727"
111/11/11,"3,313,380","277,037,868",83.10,84.00,83.00,83.90,+1.40,"2,220"
111/11/14,"3,373,036","285,945,223",84.00,85.10,83.70,85.10,+1.20,"2,731"
111/11/15,"3,805,192","324,227,313",84.20,85.90,83.70,85.90,+0.80,"2,254"
111/11/16,"3,960,808","334,028,806",85.50,85.90,83.20,83.20,-2.70,"4,889"
111/11/17,"1,249,984","104,471,966",83.20,84.20,83.00,83.60,+0.40,"1,087"
111/11/18,"2,310,579","191,345,478",83.20,83.90,82.20,82.80,-0.80,"2,602"
111/11/21,"1,393,621","115,301,956",82.80,83.50,82.20,82.80, 0.00,"1,020"
111/11/22,"893,059","74,410,204",83.70,83.70,82.70,83.40,+0.60,660
111/11/23,"920,535","76,804,691",83.80,83.90,83.10,83.10,-0.30,986
111/11/24,"3,279,995","278,450,009",83.90,85.50,83.80,85.40,+2.30,"1,950"
111/11/25,"5,427,107","466,924,743",85.10,86.90,85.00,86.90,+1.50,"3,299"
111/11/28,"3,439,121","289,208,199",85.50,85.60,83.60,84.00,-2.90,"3,880"
111/11/29,"2,198,064","185,151,670",84.80,84.80,83.50,84.50,+0.50,"1,295"
111/11/30,"5,095,169","430,387,962",84.40,85.20,83.80,84.60,+0.10,"1,638"
111/12/01,"3,962,818","333,946,847",84.80,85.50,83.50,84.30,-0.30,"2,389"
111/12/02,"2,231,261","186,640,657",83.90,84.50,83.30,83.50,-0.80,"1,596"
111/12/05,"1,876,765","157,990,834",83.50,84.70,83.50,84.20,+0.70,"1,667"
111/12/06,"2,265,917","189,339,592",83.90,84.30,83.00,83.30,-0.90,"1,747"
111/12/07,"2,520,185","208,791,679",83.20,83.70,82.30,82.40,-0.90,"1,730"
111/12/08,"2,523,490","205,925,636",81.90,82.20,81.30,81.30,-1.10,"1,537"
111/12/09,"3,545,367","289,358,421",81.30,82.30,81.10,81.50,+0.20,972
111/12/12,"1,288,391","104,434,309",81.60,81.90,80.80,81.10,-0.40,"1,158"
111/12/13,"2,143,917","174,316,275",81.10,81.90,81.00,81.00,-0.10,"1,110"
111/12/14,"2,157,162","178,812,583",82.30,83.40,82.10,82.80,+1.80,"1,286"
111/12/15,"1,395,493","115,139,514",82.40,82.90,82.10,82.80, 0.00,"1,115"
111/12/16,"3,658,693","297,394,062",81.20,81.90,81.00,81.00,-1.80,"2,009"
111/12/19,"1,589,894","127,808,108",80.00,81.00,80.00,80.30,-0.70,"1,039"
111/12/20,"2,026,746","162,193,350",79.90,80.90,79.60,79.70,-0.60,"1,409"
111/12/21,"913,598","72,886,949",80.10,80.40,79.40,79.60,-0.10,856
111/12/22,"1,145,060","92,192,769",80.20,81.00,79.70,81.00,+1.40,805
111/12/23,"1,418,055","113,037,428",79.80,80.30,79.30,80.10,-0.90,"1,097"
111/12/26,"720,453","57,904,723",80.40,80.70,80.10,80.30,+0.20,559
111/12/27,"850,077","68,829,864",80.40,81.20,80.40,81.00,+0.70,639
111/12/28,"1,288,063","103,535,113",80.20,80.90,79.50,80.50,-0.50,981
111/12/29,"2,026,635","161,489,477",79.90,80.50,79.40,79.70,-0.80,"1,514"
111/12/30,"558,688","44,835,668",80.10,80.40,80.00,80.30,+0.60,412
110/01/04,"5,002,775","498,011,685",99.40,100.50,97.60,100.00,+0.20,"3,357"
110/01/05,"5,033,669","497,220,576",100.00,100.00,98.20,99.20,-0.80,"2,811"
110/01/06,"6,317,551","629,068,988",98.30,100.50,98.30,99.50,+0.30,"4,055"
110/01/07,"3,535,059","354,159,472",100.50,101.00,99.90,100.00,+0.50,"2,225"
110/01/08,"7,996,329","817,863,254",100.50,104.00,100.50,104.00,+4.00,"4,733"
110/01/11,"4,538,322","461,931,050",103.00,103.50,100.50,102.00,-2.00,"2,580"
110/01/12,"4,219,775","422,940,206",101.00,101.00,99.60,101.00,-1.00,"2,200"
110/01/13,"5,320,397","540,042,505",102.00,102.00,100.00,102.00,+1.00,"2,094"
110/01/14,"2,085,181","211,343,699",102.00,102.00,100.50,102.00, 0.00,947
110/01/15,"5,224,165","521,776,304",101.50,102.00,99.00,99.10,-2.90,"2,966"
110/01/18,"3,526,686","344,736,474",98.60,99.00,96.60,98.00,-1.10,"2,203"
110/01/19,"3,440,632","338,487,457",97.60,99.50,97.10,99.20,+1.20,"1,578"
110/01/20,"7,104,434","684,058,007",97.90,98.50,95.20,95.20,-4.00,"3,887"
110/01/21,"2,890,470","277,637,580",96.00,96.90,95.30,96.20,+1.00,"1,605"
110/01/22,"3,482,856","331,025,573",97.50,97.50,94.40,94.50,-1.70,"2,102"
110/01/25,"2,487,350","236,327,387",94.50,95.90,93.80,95.90,+1.40,"1,507"
110/01/26,"4,585,115","431,047,718",95.50,95.60,92.90,93.70,-2.20,"2,684"
110/01/27,"3,178,415","298,877,530",94.50,95.30,93.70,94.00,+0.30,"1,470"
110/01/28,"4,289,687","393,394,927",92.30,93.20,90.80,91.40,-2.60,"2,486"
110/01/29,"7,028,279","631,042,443",90.20,92.00,88.50,89.10,-2.30,"3,726"
110/02/01,"2,523,296","226,757,998",89.10,90.50,88.40,90.00,+0.90,"1,531"
110/02/02,"3,990,251","362,715,091",88.60,92.60,88.40,91.40,+1.40,"2,245"
110/02/03,"2,759,451","251,758,266",91.10,92.00,90.30,91.70,+0.30,"1,229"
110/02/04,"1,625,324","148,541,737",90.40,91.90,90.40,91.20,-0.50,869
110/02/05,"8,967,968","822,869,591",91.20,92.50,90.90,91.90,+0.70,"2,908"
110/02/17,"10,301,401","974,071,927",93.50,96.50,92.00,95.80,+3.90,"5,514"
110/02/18,"4,952,245","479,797,994",96.00,97.70,96.00,96.60,+0.80,"3,017"
110/02/19,"5,817,515","562,157,394",96.70,97.60,95.20,97.00,+0.40,"3,276"
110/02/22,"3,703,386","364,321,775",97.60,99.00,97.00,98.20,+1.20,"2,267"
110/02/23,"9,067,641","920,908,773",98.80,103.00,98.70,103.00,+4.80,"5,682"
110/02/24,"6,236,244","629,898,102",102.00,103.00,99.80,100.50,-2.50,"3,256"
110/02/25,"5,910,975","607,446,861",103.00,103.00,102.00,102.50,+2.00,"3,327"
110/02/26,"10,941,054","1,091,348,662",100.50,101.50,98.10,100.00,-2.50,"4,572"
110/03/02,"6,441,822","632,098,118",100.00,101.00,97.00,97.00,-3.00,"4,162"
110/03/03,"9,394,376","932,273,547",96.20,101.00,96.20,100.00,+3.00,"4,498"
110/03/04,"8,178,376","810,223,451",99.50,100.50,97.70,99.80,-0.20,"4,139"
110/03/05,"5,360,381","532,767,674",99.50,100.50,98.50,99.00,-0.80,"2,519"
110/03/08,"6,968,381","712,078,517",101.50,103.00,100.50,102.50,+3.50,"3,907"
110/03/09,"4,181,235","424,263,870",102.50,103.00,100.50,101.50,-1.00,"1,758"
110/03/10,"3,006,704","303,856,081",101.50,101.50,100.00,101.50, 0.00,"1,985"
110/03/11,"4,435,422","455,950,258",102.00,103.00,101.50,103.00,+1.50,"2,495"
110/03/12,"3,442,630","347,104,488",101.50,101.50,100.00,101.50,-1.50,"2,335"
110/03/15,"1,709,002","171,583,907",100.50,101.00,100.00,100.50,-1.00,"1,013"
110/03/16,"2,341,285","233,237,353",100.00,100.50,98.80,100.50, 0.00,"1,541"
110/03/17,"5,570,465","549,414,779",100.00,100.00,97.80,98.20,-2.30,"4,294"
110/03/18,"4,124,695","406,215,869",98.30,100.00,97.60,98.20, 0.00,"2,771"
110/03/19,"8,720,597","834,265,090",96.90,97.20,94.80,95.80,-2.40,"4,683"
110/03/22,"2,578,128","246,883,135",95.00,96.80,94.50,96.30,+0.50,"1,710"
110/03/23,"1,694,433","163,106,091",96.50,96.90,96.00,96.10,-0.20,"1,208"
110/03/24,"3,401,029","324,606,139",95.70,96.70,94.80,95.40,-0.70,"2,233"
110/03/25,"4,139,192","394,305,617",95.30,96.10,94.10,95.60,+0.20,"2,325"
110/03/26,"4,241,349","409,416,962",95.60,97.30,95.50,96.80,+1.20,"2,842"
110/03/29,"4,257,786","413,843,727",97.60,98.20,96.60,96.60,-0.20,"2,540"
110/03/30,"4,003,577","385,527,630",97.00,97.20,95.80,96.60, 0.00,"2,543"
110/03/31,"4,637,521","448,097,188",96.60,97.30,96.10,96.80,+0.20,"2,210"
110/04/01,"2,502,819","242,309,494",96.80,97.80,96.30,96.70,-0.10,"1,652"
110/04/06,"3,977,963","387,563,817",97.40,98.00,96.50,97.40,+0.70,"2,367"
110/04/07,"3,411,155","333,087,475",96.70,98.20,96.70,98.00,+0.60,"1,971"
